조사일,조사지역명,조사지역코드,조사시장명,조사시장코드,품목명,품목코드,유통단계,유통단계 구분,유통단계,품목명,상품코드,조사가격,전날조사가격,규격,등급,
20220101,전주,3504,C-유통,427,수입,1,소비자가격,0,2,건블루베리,7,3090,0,100G,중(2등급),30900
20220101,전주,3504,C-유통,428,수입,1,소비자가격,0,1,망고,7,5990,0,1개,상(1등급),5990
20220101,전북전주,3500,전주남부시장,223,취청,1,소비자가격,3,1,오이,7,9000,0,10개,상(1등급),4500
20220101,전북전주,3500,전주남부시장,223,취청,1,소비자가격,3,1,오이,7,9000,0,10개,상(1등급),4500
20220101,전주,3504,C-유통,223,취청,1,소비자가격,3,1,오이,7,11450,0,10개,상(1등급),5725
20220101,전북전주,3500,전주남부시장,411,후지,1,소비자가격,5,1,사과,7,23300,0,10개,상(1등급),11650
20220101,전북전주,3500,전주남부시장,411,후지,1,소비자가격,5,1,사과,7,23300,0,10개,상(1등급),11650
20220101,전북전주,3500,전주남부시장,256,일반,1,소비자가격,0,1,파프리카,7,1500,0,200G,상(1등급),7500
20220101,전북전주,3500,전주남부시장,256,일반,1,소비자가격,0,1,파프리카,7,1500,0,200G,상(1등급),7500
20220101,전주,3504,C-유통,256,일반,1,소비자가격,0,1,파프리카,7,1660,0,200G,상(1등급),8300
20220101,전북전주,3500,전주남부시장,312,중국참깨,1,소비자가격,2,2,참깨,7,4000,0,500G,중(2등급),8000
20220101,전북전주,3500,전주남부시장,312,중국참깨,1,소비자가격,2,2,참깨,7,4000,0,500G,중(2등급),8000
20220101,전북전주,3500,전주남부시장,312,인도참깨,1,소비자가격,3,2,참깨,7,3000,0,500G,중(2등급),6000
20220101,전북전주,3500,전주남부시장,312,인도참깨,1,소비자가격,3,2,참깨,7,3000,0,500G,중(2등급),6000
20220101,전주,3504,C-유통,314,수입,1,소비자가격,2,2,땅콩,7,1000,0,100G,중(2등급),10000
20220101,전주,3504,C-유통,422,국산,1,소비자가격,1,1,방울토마토,7,11500,0,1KG,상(1등급),11500
20220101,전북전주,3500,전주남부시장,426,수입,1,소비자가격,0,2,건포도,7,660,0,100G,중(2등급),6600
20220101,전북전주,3500,전주남부시장,426,수입,1,소비자가격,0,2,건포도,7,660,0,100G,중(2등급),6600
20220101,전주,3504,C-유통,426,수입,1,소비자가격,0,2,건포도,7,1260,0,100G,중(2등급),12600
20220101,전북전주,3500,전주남부시장,246,쪽파,1,소비자가격,2,1,파,7,4670,0,1KG,상(1등급),4670
20220101,전북전주,3500,전주남부시장,246,쪽파,1,소비자가격,2,1,파,7,4670,0,1KG,상(1등급),4670
20220101,전북전주,3500,전주남부시장,317,일반,1,소비자가격,0,1,새송이버섯,7,560,0,100G,상(1등급),5600
20220101,전북전주,3500,전주남부시장,317,일반,1,소비자가격,0,1,새송이버섯,7,560,0,100G,상(1등급),5600
20220101,전주,3504,C-유통,317,일반,1,소비자가격,0,1,새송이버섯,7,580,0,100G,상(1등급),5800
20220101,전북전주,3500,전주남부시장,247,국산,1,소비자가격,0,1,생강,7,5660,0,1KG,상(1등급),5660
20220101,전북전주,3500,전주남부시장,247,국산,1,소비자가격,0,1,생강,7,5660,0,1KG,상(1등급),5660
20220101,전주,3504,C-유통,247,국산,1,소비자가격,0,1,생강,7,10670,0,1KG,상(1등급),10670
20220101,전북전주,3500,전주남부시장,318,일반,1,소비자가격,0,2,호두,7,1730,0,100G,중(2등급),17300
20220101,전북전주,3500,전주남부시장,318,일반,1,소비자가격,0,2,호두,7,1730,0,100G,중(2등급),17300
20220101,전주,3504,C-유통,318,일반,1,소비자가격,0,2,호두,7,1660,0,100G,중(2등급),16600
20220102,전북전주,3500,전주남부시장,211,가을,1,소비자가격,3,1,배추,7,3000,0,1포기,상(1등급),1500
20220102,전북전주,3500,전주남부시장,211,가을,1,소비자가격,3,1,배추,7,3000,0,1포기,상(1등급),1500
20220102,전주,3504,C-유통,211,가을,1,소비자가격,3,2,배추,7,3280,0,1포기,중(2등급),1640
20220102,전북전주,3500,전주남부시장,212,일반,1,소비자가격,0,1,양배추,7,3330,0,1포기,상(1등급),1110
20220102,전북전주,3500,전주남부시장,212,일반,1,소비자가격,0,1,양배추,7,3330,0,1포기,상(1등급),1110
20220102,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,1,무,7,1830,0,1개,상(1등급),1830
20220102,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,1,무,7,1830,0,1개,상(1등급),1830
20220102,전주,3504,C-유통,231,월동,1,소비자가격,6,1,무,7,1680,0,1개,상(1등급),1680
20220102,전북전주,3500,전주남부시장,247,국산,1,소비자가격,0,1,생강,7,5660,0,1KG,상(1등급),5660
20220102,전북전주,3500,전주남부시장,247,국산,1,소비자가격,0,1,생강,7,5660,0,1KG,상(1등급),5660
20220102,전주,3504,C-유통,247,국산,1,소비자가격,0,1,생강,7,10670,0,1KG,상(1등급),10670
20220102,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,2,딸기,7,2160,0,100G,중(2등급),21600
20220102,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,2,딸기,7,2160,0,100G,중(2등급),21600
20220102,전주,3504,C-유통,221,일반,1,소비자가격,0,2,수박,7,17900,0,1개,중(2등급),3580
20220102,전북전주,3500,전주남부시장,243,일반,1,소비자가격,0,1,붉은고추,7,1000,0,100G,상(1등급),10000
20220102,전북전주,3500,전주남부시장,243,일반,1,소비자가격,0,1,붉은고추,7,1000,0,100G,상(1등급),10000
20220102,전주,3504,C-유통,243,일반,1,소비자가격,0,1,붉은고추,7,1720,0,100G,상(1등급),17200
20220102,전북전주,3500,전주남부시장,245,양파(일반),1,소비자가격,0,1,양파,7,2000,0,1KG,상(1등급),2000
20220102,전북전주,3500,전주남부시장,245,양파(일반),1,소비자가격,0,1,양파,7,2000,0,1KG,상(1등급),2000
20220102,전주,3504,C-유통,245,양파(일반),1,소비자가격,0,1,양파,7,1990,0,1KG,상(1등급),1990
20220102,전주,3504,C-유통,223,다다기계통,1,소비자가격,2,1,오이,7,11960,0,10개,상(1등급),5980
20220102,전주,3504,C-유통,214,적,1,소비자가격,1,1,상추,7,940,0,100G,상(1등급),9400
20220102,전북전주,3500,전주남부시장,246,쪽파,1,소비자가격,2,1,파,7,4670,0,1KG,상(1등급),4670
20220102,전북전주,3500,전주남부시장,246,쪽파,1,소비자가격,2,1,파,7,4670,0,1KG,상(1등급),4670
20220102,전북전주,3500,전주남부시장,224,애호박,1,소비자가격,1,1,호박,7,1930,0,1개,상(1등급),1930
20220102,전북전주,3500,전주남부시장,224,애호박,1,소비자가격,1,1,호박,7,1930,0,1개,상(1등급),1930
20220102,전주,3504,C-유통,224,애호박,1,소비자가격,1,1,호박,7,2380,0,1개,상(1등급),2380
20220102,전북전주,3500,전주남부시장,225,일반,1,소비자가격,0,1,토마토,7,5000,0,1KG,상(1등급),5000
20220102,전북전주,3500,전주남부시장,225,일반,1,소비자가격,0,1,토마토,7,5000,0,1KG,상(1등급),5000
20220102,전주,3504,C-유통,225,일반,1,소비자가격,0,1,토마토,7,7420,0,1KG,상(1등급),7420
20220102,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,2,무,7,1330,0,1개,중(2등급),1330
20220102,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,2,무,7,1330,0,1개,중(2등급),1330
20220102,전북전주,3500,전주남부시장,241,화건,1,소비자가격,0,1,건고추,7,10600,0,600G,상(1등급),17666.6666666667
20220102,전북전주,3500,전주남부시장,241,화건,1,소비자가격,0,1,건고추,7,10600,0,600G,상(1등급),17666.6666666667
20220102,전북전주,3500,전주남부시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220102,전북전주,3500,전주남부시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220102,전주,3504,C-유통,257,일반,1,소비자가격,0,1,멜론,7,19800,0,1개,상(1등급),19800
20220102,전주,3504,C-유통,418,수입,1,소비자가격,2,1,바나나,7,270,0,100G,상(1등급),2700
20220102,전북전주,3500,전주남부시장,312,국산백색,1,소비자가격,1,1,참깨,7,14300,0,500G,상(1등급),28600
20220102,전북전주,3500,전주남부시장,312,국산백색,1,소비자가격,1,1,참깨,7,14300,0,500G,상(1등급),28600
20220102,전북전주,3500,전주남부시장,312,중국참깨,1,소비자가격,2,2,참깨,7,4000,0,500G,중(2등급),8000
20220102,전북전주,3500,전주남부시장,312,중국참깨,1,소비자가격,2,2,참깨,7,4000,0,500G,중(2등급),8000
20220102,전북전주,3500,전주남부시장,312,인도참깨,1,소비자가격,3,2,참깨,7,3000,0,500G,중(2등급),6000
20220102,전북전주,3500,전주남부시장,312,인도참깨,1,소비자가격,3,2,참깨,7,3000,0,500G,중(2등급),6000
20220102,전북전주,3500,전주남부시장,248,일반,1,소비자가격,0,1,고춧가루,7,24600,0,1KG,상(1등급),24600
20220102,전북전주,3500,전주남부시장,248,일반,1,소비자가격,0,1,고춧가루,7,24600,0,1KG,상(1등급),24600
20220102,전주,3504,C-유통,248,일반,1,소비자가격,0,1,고춧가루,7,27960,0,1KG,상(1등급),27960
20220102,전주,3504,C-유통,242,일반고추,1,소비자가격,0,1,풋고추,7,1050,0,100G,상(1등급),10500
20220102,전북전주,3500,전주남부시장,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1000,0,100G,상(1등급),10000
20220102,전북전주,3500,전주남부시장,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1000,0,100G,상(1등급),10000
20220102,전주,3504,C-유통,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1650,0,100G,상(1등급),16500
20220102,전북전주,3500,전주남부시장,316,일반,1,소비자가격,0,1,팽이버섯,7,500,0,100G,상(1등급),5000
20220102,전북전주,3500,전주남부시장,316,일반,1,소비자가격,0,1,팽이버섯,7,500,0,100G,상(1등급),5000
20220102,전주,3504,C-유통,316,일반,1,소비자가격,0,1,팽이버섯,7,560,0,100G,상(1등급),5600
20220102,전주,3504,C-유통,427,수입,1,소비자가격,0,2,건블루베리,7,3090,0,100G,중(2등급),30900
20220102,전북전주,3500,전주남부시장,232,무세척,1,소비자가격,1,1,당근,7,3000,0,1KG,상(1등급),3000
20220102,전북전주,3500,전주남부시장,232,무세척,1,소비자가격,1,1,당근,7,3000,0,1KG,상(1등급),3000
20220102,전주,3504,C-유통,232,무세척,1,소비자가격,1,1,당근,7,2980,0,1KG,상(1등급),2980
20220102,전북전주,3500,전주남부시장,248,일반,1,소비자가격,1,1,고춧가루,7,10000,0,1KG,상(1등급),10000
20220102,전북전주,3500,전주남부시장,248,일반,1,소비자가격,1,1,고춧가루,7,10000,0,1KG,상(1등급),10000
20220102,전주,3504,C-유통,248,일반,1,소비자가격,1,1,고춧가루,7,12800,0,1KG,상(1등급),12800
20220102,전북전주,3500,전주남부시장,252,일반,1,소비자가격,0,1,미나리,7,710,0,1KG,상(1등급),710
20220102,전북전주,3500,전주남부시장,252,일반,1,소비자가격,0,1,미나리,7,710,0,1KG,상(1등급),710
20220102,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,1,딸기,7,2530,0,100G,상(1등급),25300
20220102,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,1,딸기,7,2530,0,100G,상(1등급),25300
20220102,전주,3504,C-유통,226,일반,1,소비자가격,0,1,딸기,7,2250,0,100G,상(1등급),22500
20220102,전북전주,3500,전주남부시장,214,청,1,소비자가격,2,1,상추,7,700,0,100G,상(1등급),7000
20220102,전북전주,3500,전주남부시장,214,청,1,소비자가격,2,1,상추,7,700,0,100G,상(1등급),7000
20220102,전북전주,3500,전주남부시장,242,청양고추,1,소비자가격,3,1,풋고추,7,660,0,100G,상(1등급),6600
20220102,전북전주,3500,전주남부시장,242,청양고추,1,소비자가격,3,1,풋고추,7,660,0,100G,상(1등급),6600
20220102,전주,3504,C-유통,242,청양고추,1,소비자가격,3,1,풋고추,7,1120,0,100G,상(1등급),11200
20220102,전주,3504,C-유통,215,일반,1,소비자가격,0,1,얼갈이배추,7,2650,0,1KG(단),상(1등급),2650
20220102,전북전주,3500,전주남부시장,420,수입산,1,소비자가격,2,1,파인애플,7,6500,0,1개,상(1등급),6500
20220102,전북전주,3500,전주남부시장,420,수입산,1,소비자가격,2,1,파인애플,7,6500,0,1개,상(1등급),6500
20220102,전주,3504,C-유통,420,수입산,1,소비자가격,2,1,파인애플,7,5980,0,1개,상(1등급),5980
20220102,전북전주,3500,전주남부시장,314,국산,1,소비자가격,1,1,땅콩,7,2100,0,100G,상(1등급),21000
20220102,전북전주,3500,전주남부시장,314,국산,1,소비자가격,1,1,땅콩,7,2100,0,100G,상(1등급),21000
20220102,전주,3504,C-유통,314,국산,1,소비자가격,1,1,땅콩,7,3330,0,100G,상(1등급),33300
20220102,전북전주,3500,전주남부시장,314,수입,1,소비자가격,2,2,땅콩,7,660,0,100G,중(2등급),6600
