조사일,조사지역명,조사지역코드,조사시장명,조사시장코드,품목명,품목코드,유통단계,유통단계 구분,유통단계,품목명,상품코드,조사가격,전날조사가격,규격,등급,
20220102,제주,3904,C-유통,242,청양고추,1,소비자가격,3,1,풋고추,7,1050,0,100G,상(1등급),10500
20220102,제주,3900,동문시장,215,일반,1,소비자가격,0,1,얼갈이배추,7,2000,0,1KG(단),상(1등급),2000
20220102,제주,3904,C-유통,215,일반,1,소비자가격,0,1,얼갈이배추,7,2600,0,1KG(단),상(1등급),2600
20220102,제주,3900,동문시장,420,수입산,1,소비자가격,2,1,파인애플,7,6660,0,1개,상(1등급),6660
20220102,제주,3900,동문시장,315,일반,1,소비자가격,0,1,느타리버섯,7,1400,0,100G,상(1등급),14000
20220102,제주,3904,C-유통,315,일반,1,소비자가격,0,1,느타리버섯,7,1490,0,100G,상(1등급),14900
20220102,제주,3900,동문시장,316,일반,1,소비자가격,0,1,팽이버섯,7,500,0,100G,상(1등급),5000
20220102,제주,3904,C-유통,316,일반,1,소비자가격,0,1,팽이버섯,7,470,0,100G,상(1등급),4700
20220102,제주,3900,동문시장,426,수입,1,소비자가격,0,2,건포도,7,640,0,100G,중(2등급),6400
20220102,제주,3904,C-유통,426,수입,1,소비자가격,0,2,건포도,7,1260,0,100G,중(2등급),12600
20220102,제주,3900,동문시장,317,일반,1,소비자가격,0,1,새송이버섯,7,500,0,100G,상(1등급),5000
20220102,제주,3904,C-유통,317,일반,1,소비자가격,0,1,새송이버섯,7,580,0,100G,상(1등급),5800
20220102,제주,3904,C-유통,223,취청,1,소비자가격,3,1,오이,7,11450,0,10개,상(1등급),5725
20220102,제주,3900,동문시장,246,대파,1,소비자가격,0,1,파,7,3000,0,1KG,상(1등급),3000
20220102,제주,3904,C-유통,246,대파,1,소비자가격,0,1,파,7,3100,0,1KG,상(1등급),3100
20220102,제주,3900,동문시장,318,일반,1,소비자가격,0,2,호두,7,1530,0,100G,중(2등급),15300
20220102,제주,3904,C-유통,318,일반,1,소비자가격,0,2,호두,7,1660,0,100G,중(2등급),16600
20220102,제주,3900,동문시장,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5000,0,1KG,상(1등급),5000
20220102,제주,3904,C-유통,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5990,0,1KG,상(1등급),5990
20220102,제주,3900,동문시장,319,일반,1,소비자가격,0,2,아몬드,7,1430,0,100G,중(2등급),14300
20220102,제주,3904,C-유통,319,일반,1,소비자가격,0,2,아몬드,7,1760,0,100G,중(2등급),17600
20220102,제주,3900,동문시장,411,후지,1,소비자가격,5,1,사과,7,30000,0,10개,상(1등급),15000
20220102,제주,3904,C-유통,411,후지,1,소비자가격,5,1,사과,7,17450,0,10개,상(1등급),8725
20220102,제주,3900,동문시장,253,일반,1,소비자가격,0,1,깻잎,7,1430,0,100G,상(1등급),14300
20220102,제주,3904,C-유통,253,일반,1,소비자가격,0,1,깻잎,7,4600,0,100G,상(1등급),46000
20220102,제주,3900,동문시장,412,신고,1,소비자가격,1,1,배,7,36600,0,10개,상(1등급),7320
20220102,제주,3900,동문시장,255,청피망,1,소비자가격,0,1,피망,7,800,0,100G,상(1등급),8000
20220102,제주,3904,C-유통,255,청피망,1,소비자가격,0,1,피망,7,1390,0,100G,상(1등급),13900
